date,cash,shares,close_price,position_value,exposure_pct,equity,gross_cash,gross_shares,gross_position_value,gross_equity
2020-07-17,682.2649567739378,0.0,296.273925291,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-20,682.2649567739378,0.0,298.66828127,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-21,682.2649567739378,0.0,299.303706511,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-22,682.2649567739378,0.0,301.007382881,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-23,682.2649567739378,0.0,297.415848912,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-24,682.2649567739378,0.0,295.500364128,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-27,682.2649567739378,0.0,297.65528451,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-28,682.2649567739378,0.0,295.76742691,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-29,682.2649567739378,0.0,299.405006187,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-30,682.2649567739378,0.0,298.336755058,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-07-31,682.2649567739378,0.0,300.694274791,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-03,682.2649567739378,0.0,302.784731743,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-04,682.2649567739378,0.0,303.954282548,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-05,682.2649567739378,0.0,305.842140148,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-06,682.2649567739378,0.0,307.886551792,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-07,682.2649567739378,0.0,308.107569267,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-10,682.2649567739378,0.0,309.028475413,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-11,682.2649567739378,0.0,306.477565388,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-12,682.2649567739378,0.0,310.750569906,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-13,682.2649567739378,0.0,310.188817157,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-14,682.2649567739378,0.0,310.198026218,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-17,682.2649567739378,0.0,311.183395794,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-18,682.2649567739378,0.0,311.855657281,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-19,682.2649567739378,0.0,310.557179615,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-20,682.2649567739378,0.0,311.524131068,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-21,682.2649567739378,0.0,312.629218444,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-24,682.2649567739378,0.0,315.797135586,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-25,682.2649567739378,0.0,316.902222961,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-26,682.2649567739378,0.0,320.079349165,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-27,682.2649567739378,0.0,320.779237836,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-28,682.2649567739378,0.0,322.851276664,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-08-31,682.2649567739378,0.0,321.681725859,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-01,682.2649567739378,0.0,324.711507079,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-02,682.2649567739378,0.0,329.408128424,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-03,682.2649567739378,0.0,318.071773766,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-04,682.2649567739378,0.0,315.474818435,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-08,682.2649567739378,0.0,306.855136908,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-09,682.2649567739378,0.0,312.914699349,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-10,682.2649567739378,0.0,307.481353087,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-09-11,511.6987175804534,0.5505302174437968,307.637907132,169.36396390733455,0.24867603013772147,681.0626814877879,518.2314588008364,0.5585738364405541,171.83848602126415,690.0699448221005
2020-09-14,511.6987175804534,0.5505302174437968,311.689894175,171.59470521519677,0.251128870102581,683.2934227956501,518.2314588008364,0.5585738364405541,174.10181996908008,692.3332787699165
2020-09-15,511.6987175804534,0.5505302174437968,313.264643684,172.46165240480607,0.2520778167968452,684.1603699852594,518.2314588008364,0.5585738364405541,174.9814338437551,693.2128926445915
