date,cash_jpy,quantity,position_value_jpy,equity_jpy,gross_equity_jpy,market_weight,usdjpy
2022-04-14,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,125.3769989013672
2022-04-18,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,126.61799621582033
2022-04-19,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,127.0979995727539
2022-04-20,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,129.33299255371094
2022-04-21,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,128.01300048828125
2022-04-22,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,128.4080047607422
2022-04-25,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,128.60499572753906
2022-04-26,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,127.74400329589844
2022-04-27,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,127.26599884033205
2022-04-28,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,128.3939971923828
2022-04-29,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.81100463867188
2022-05-02,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.01100158691406
2022-05-03,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.11199951171875
2022-05-04,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.11599731445312
2022-05-05,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,129.22300720214844
2022-05-06,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.3300018310547
2022-05-09,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.74899291992188
2022-05-10,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.3769989013672
2022-05-11,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,130.3509979248047
2022-05-12,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,129.8350067138672
2022-05-13,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,128.58799743652344
2022-05-16,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,129.4320068359375
2022-05-17,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,128.92300415039062
2022-05-18,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,129.45399475097656
2022-05-19,84816.90879424533,0.0,0.0,84816.90879424533,104766.27457787198,0.0,127.91400146484376
